product_id,brand_id,category_id,product_name,product_desc,product_price,product_group_code,product_code,product_color,product_attr,product_size1,product_size2,product_size3,product_size4,product_size5,product_size6,product_size7,product_size8,created_dt,modified_dt,product_seq
11,2,9,Gilet,Sleeveless,3799,PGA6,USJK0430,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1
12,2,9,Gilet,Sleeveless,3799,PGA6,USJK0431,Olive,"Jacket, USPA, Winter, Sleeveless",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,2
13,2,9,BIKER,,6499,PGA7,USJK0432,Navy,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,3
14,2,9,BIKER,,6499,PGA7,USJK0433,DK Green,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,4
15,2,9,parka,,6799,,USJK0434,Olive,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,2015-02-11 07:58:28,5
16,2,9,parka,,6999,PGA8,USJK0435,Khaki,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,6
17,2,9,parka,,6999,PGA8,USJK0436,NAvy,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,7
18,2,9,biker - reversible,reversible,6499,,USJK0437,Black,"Jacket, USPA, Winter, reversible",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,8
19,2,9,Blazer,,6499,PGA9,USJK0438,Charcoal,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,9
20,2,9,Blazer,,6499,PGA9,USJK0439,Dk blue,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,10
21,2,9,Biker,,6999,PGA10,USJK0440,Blue,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,11
22,2,9,Biker,,6999,PGA10,USJK0441,Olive,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,12
23,2,9,Biker,,7499,,USJK0442,Black,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,13
24,2,9,Biker,,7499,,USJK0443,Brown,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,14
25,2,9,Biker,,5999,,USJK0444,Black,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,15
26,2,9,parka,,6999,PGA11,USJK0445,Navy,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,16
27,2,9,parka,,6999,PGA11,USJK0446,Lt khaki,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,17
28,2,9,Bomber - reversible,reversible,6499,PGA12,USJK0447,Navy,"Jacket, USPA, Winter, reversible",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,18
29,2,9,Bomber - reversible,reversible,6499,PGA12,USJK0448,OLIVE,"Jacket, USPA, Winter, reversible",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,19
30,2,9,gilet,Sleeveless,4299,PGA13,USJK0449,Navy,"Jacket, USPA, Winter",S,M,L,XL,XXL,3XL,,,0000-00-00 00:00:00,0000-00-00 00:00:00,20
