product_id,brand_id,category_id,product_name,product_desc,product_price,product_group_code,product_code,product_color,product_attr,product_size1,product_size2,product_size3,product_size4,product_size5,product_size6,product_size7,product_size8,created_dt,modified_dt
1,2,1,flying-machine-man-black-printed-tshirt,desc,200,PGA1,FM-BLK-T,black,"half sleeves, colon",S,M,L,,,,,,"0000-00-00 00:00:00","2015-02-10 11:30:28"
2,15,1,Flying-Machine-Men-Blue-Melange-Printed-T-shirt,"product desc",100,PGA1,FM-BLUE-T,blue,"full sleeves, checks",S,M,L,,,,,,"0000-00-00 00:00:00","2015-02-10 11:30:28"
3,15,1,Flying-Machine-Navy-Blue-Polo-T-Shirt,desc,300,PGA1,FM-NAV-BLUE-T,navyblue,NULL,S,M,L,,,,,,"0000-00-00 00:00:00","2015-02-10 11:30:28"
4,15,6,"flying machine check shirt","product desc",500,PGA4,FM-C-SHRT,check,NULL,S,M,L,XL,XXL,,,,"0000-00-00 00:00:00","2015-02-10 11:30:28"
5,2,6,Flying-Machine-Men-Blue-Premium-Fit-Casual-Denim-Shirt,desc,1200,PGA4,FM-BLUE-CAS-SHRT,blue,NULL,S,M,L,XL,XXL,,,,"0000-00-00 00:00:00","2015-02-02 16:13:48"
6,15,6,Flying-Machine-Men-Navy-Linen-Blend-Casual-Shirt,"product desc",1200,PGA4,FM-NAV-LIN-CAS-SHRT,navyblue,NULL,S,M,L,XL,XXL,,,,"0000-00-00 00:00:00","2015-01-30 20:04:11"
7,16,7,Flying-Machine-Brown-Casual-Trouser-,desc,2200,PGA5,FM-BROWN-TRS,brown,NULL,S,M,L,XL,XXL,,,,"0000-00-00 00:00:00","2015-02-10 11:30:28"
8,15,7,Flying-Machine-Khaki-Chinos,"product desc",1200,PGA5,FM-KHAK-CHIN-TRS,brown,NULL,28,30,32,34,36,38,,,"0000-00-00 00:00:00","2015-01-30 20:04:11"
9,15,7,Flying-Machine-Men-Blue-Slim-Fit-Cargo-Trousers,desc,1200,PGA5,FM-BLUE-CARG-TRS,blue,NULL,28,30,32,34,36,38,,,"0000-00-00 00:00:00","2015-01-30 20:04:11"
10,15,7,Flying-Machine-Navy-Blue-Cargo,"product desc",1200,PGA5,FM-NAV-BLUE-TRS,blue,NULL,28,30,32,34,36,38,,,"0000-00-00 00:00:00","2015-01-30 20:04:11"
